sifra,tip,stanica,datum_vrijeme,T,vlaga,RR,vjetar,smjer_kod,udar,insolacija,pritisak
02ZBLJ10,glavna,Žabljak,18.08.2026 21:10,12.50,,0.00,0.90,22,,0.8,855.6
02BIST20,klimatološka,Bistrica,18.08.2026 21:00,16.90,,0.00,1.40,20,2.30,,
02BOAN30,klimatološka,Boan,18.08.2026 21:00,18.26,,,,,,,
02BPLJ20,klimatološka,Bijelo Polje,18.08.2026 21:00,17.69,,,,,,,
02BUDV20,klimatološka,Budva,18.08.2026 21:00,27.71,,,,,,,
02CRKV30,klimatološka,Crkvice,18.08.2026 21:00,15.09,,,,,,,
02DANL20,klimatološka,Danilovgrad,18.08.2026 21:00,23.70,,,,,,,
02DDOB30,klimatološka,Donja Dobrilovina,18.08.2026 21:00,17.12,,,,,,,
02GOBU30,klimatološka,Gornja Bukovica,18.08.2026 21:00,11.52,,,,,,,
02GRAD30,klimatološka,Gradac,18.08.2026 21:00,14.34,,,,,,,
02IVKO30,klimatološka,Ivanova korita,18.08.2026 21:00,15.14,,0.00,,,,,
02KOSA30,klimatološka,Kosanica,18.08.2026 21:00,8.93,,,,,,,
02KOVR30,klimatološka,Kovren,18.08.2026 21:00,15.90,,0.00,,,,,
02KUKO30,klimatološka,Kučka korita,18.08.2026 21:00,16.18,,0.00,,,,,
02LKOT20,klimatološka,Luka Kotor,18.08.2026 20:56,24.40,,,0.70,,1.80,,
02MAMO30,klimatološka,Manastir Morača,18.08.2026 21:00,18.95,,,,,,,
02MATE30,klimatološka,Matesevo,18.08.2026 21:00,14.29,,0.00,,,,,
02MOKR30,klimatološka,Mokro,18.08.2026 21:00,15.18,,,,,,,
02NJGV30,klimatološka,Njegovuđa,18.08.2026 21:00,11.33,,,,,,,
02PLZN20,klimatološka,Pluzine,18.08.2026 21:00,20.80,,0.00,0.60,32,1.80,,
02POSC30,klimatološka,Pošćenje,18.08.2026 21:00,16.80,,,,,,,
02STAB30,klimatološka,Stabna,18.08.2026 21:00,17.28,,,,,,,
02STIT30,klimatološka,Štitarica,18.08.2026 21:00,14.44,,,,,,,
02UBLI20,klimatološka,Ubli,18.08.2026 21:00,22.16,,,,,,,
02VELK30,klimatološka,Velika,18.08.2026 21:00,16.77,,,,,,,
02VELM20,klimatološka,Velimlje,18.08.2026 21:00,20.90,,0.00,0.40,14,0.70,,
02VIRP20,klimatološka,Virpazar,18.08.2026 21:00,26.10,,0.00,,,,,
02BAR010,glavna,Bar,18.08.2026 21:50,26.10,,0.00,1.10,8,,0.7,1009.1
02CTNJ10,glavna,Cetinje,18.08.2026 21:50,18.20,,0.00,0.30,10,,0.0,939.3
02HNOV10,glavna,Herceg Novi,18.08.2026 21:50,24.70,,0.00,1.40,22,,0.7,1005.2
02KOLS10,glavna,Kolašin,18.08.2026 21:50,14.30,,0.00,0.20,18,,0.0,908.4
02NIKS10,glavna,Nikšić,18.08.2026 21:50,21.30,,0.00,2.40,4,,0.1,938.6
02PDGR10,glavna,Podgorica,18.08.2026 21:50,28.40,,0.00,1.70,2,,0.1,1003.8
02PLJV10,glavna,Pljevlja,18.08.2026 21:50,15.90,,0.00,1.00,20,,0.8,924.9
02ULCN10,glavna,Ulcinj,18.08.2026 21:50,25.50,,0.00,0.70,30,,0.0,1009.3
02ZBLJ10,glavna,Žabljak,18.08.2026 21:50,11.60,,0.00,1.50,22,,0.1,855.7
02LKOT20,klimatološka,Luka Kotor,18.08.2026 21:16,24.40,,,1.00,,1.40,,
02BAR010,glavna,Bar,18.08.2026 22:40,25.50,,0.00,1.30,6,,0.1,1009.2
02BERA20,glavna,Berane,18.08.2026 22:00,17.71,,0.00,1.30,12,2.40,,935.6
02CTNJ10,glavna,Cetinje,18.08.2026 22:40,17.20,,0.00,0.30,10,,0.0,939.5
02HNOV10,glavna,Herceg Novi,18.08.2026 22:40,23.70,,0.00,0.10,22,,0.0,1005.2
02KOLS10,glavna,Kolašin,18.08.2026 22:40,13.10,,0.00,0.00,32,,0.0,908.5
02NIKS10,glavna,Nikšić,18.08.2026 22:40,20.60,,0.00,2.30,4,,0.0,938.9
02PDGR10,glavna,Podgorica,18.08.2026 22:40,28.00,,0.00,2.90,2,,0.0,1004.1
02PLJV10,glavna,Pljevlja,18.08.2026 22:40,14.50,,0.00,0.40,24,,0.1,925.4
02ULCN10,glavna,Ulcinj,18.08.2026 22:40,25.00,,0.00,0.80,30,,0.0,1009.5
02ZBLJ10,glavna,Žabljak,18.08.2026 22:40,10.80,,0.00,1.20,22,,0.6,855.9
02BIST20,klimatološka,Bistrica,18.08.2026 22:00,15.80,,0.00,0.80,2,1.50,,
02BOAN30,klimatološka,Boan,18.08.2026 22:00,15.51,,,,,,,
02BPLJ20,klimatološka,Bijelo Polje,18.08.2026 22:00,16.26,,,,,,,
02BUDV20,klimatološka,Budva,18.08.2026 22:00,26.96,,,,,,,
